emp_no,dept_no,from_date,to_date
10001,d005,26-06-1986,01-01-9999
10002,d007,03-08-1996,01-01-9999
10003,d004,03-12-1995,01-01-9999
10004,d004,01-12-1986,01-01-9999
10005,d003,12-09-1989,01-01-9999
10006,d005,05-08-1990,01-01-9999
10007,d008,10-02-1989,01-01-9999
10008,d005,11-03-1998,31-07-2000
10009,d006,18-02-1985,01-01-9999
10010,d004,24-11-1996,26-06-2000
10010,d006,26-06-2000,01-01-9999
10011,d009,22-01-1990,09-11-1996
10012,d005,18-12-1992,01-01-9999
10013,d003,20-10-1985,01-01-9999
10014,d005,29-12-1993,01-01-9999
10015,d008,19-09-1992,22-08-1993
10016,d007,11-02-1998,01-01-9999
10017,d001,03-08-1993,01-01-9999
10018,d004,29-07-1992,01-01-9999
10018,d005,03-04-1987,29-07-1992
10019,d008,30-04-1999,01-01-9999
10020,d004,30-12-1997,01-01-9999
10021,d005,10-02-1988,15-07-2002
10022,d005,03-09-1999,01-01-9999
10023,d005,27-09-1999,01-01-9999
10024,d004,14-06-1998,01-01-9999
10025,d005,17-08-1987,15-10-1997
10026,d004,20-03-1995,01-01-9999
10027,d005,02-04-1995,01-01-9999
10028,d005,22-10-1991,06-04-1998
10029,d004,18-09-1991,08-07-1999
10029,d006,08-07-1999,01-01-9999
10030,d004,17-02-1994,01-01-9999
10031,d005,01-09-1991,01-01-9999
10032,d004,20-06-1990,01-01-9999
10033,d006,18-03-1987,24-03-1993
10034,d007,12-04-1995,31-10-1999
10035,d004,05-09-1988,01-01-9999
10036,d003,28-04-1992,01-01-9999
10037,d005,05-12-1990,01-01-9999
10038,d009,20-09-1989,01-01-9999
10039,d003,19-01-1988,01-01-9999
10040,d005,14-02-1993,22-01-2002
10040,d008,22-01-2002,01-01-9999
10041,d007,12-11-1989,01-01-9999
10042,d002,21-03-1993,10-08-2000
10043,d005,20-10-1990,01-01-9999
10044,d004,21-05-1994,01-01-9999
10045,d004,16-11-1996,01-01-9999
10046,d008,20-06-1992,01-01-9999
10047,d004,31-03-1989,01-01-9999
10048,d005,24-02-1985,27-01-1987
10049,d009,04-05-1992,01-01-9999
10050,d002,25-12-1990,05-11-1992
10050,d007,05-11-1992,01-01-9999
10051,d004,15-10-1992,01-01-9999
10052,d008,31-01-1997,01-01-9999
10053,d007,13-11-1994,01-01-9999
10054,d003,29-07-1995,01-01-9999
10055,d001,27-04-1992,22-07-1995
10056,d005,01-02-1990,01-01-9999
10057,d005,15-01-1992,01-01-9999
10058,d001,25-04-1988,01-01-9999
10059,d002,26-06-1991,01-01-9999
10060,d007,28-05-1989,11-11-1992
10060,d009,11-11-1992,01-01-9999
10061,d007,02-12-1989,01-01-9999
10062,d005,30-08-1991,01-01-9999
10063,d004,08-04-1989,01-01-9999
10064,d008,20-11-1985,02-03-1992
10065,d005,24-05-1998,01-01-9999
10066,d005,26-02-1986,01-01-9999
10067,d006,04-03-1987,01-01-9999
10068,d007,07-08-1987,01-01-9999
10069,d004,14-06-1992,01-01-9999
10070,d005,14-10-1985,18-10-1995
10070,d008,18-10-1995,01-01-9999
10071,d003,05-08-1995,01-01-9999
10072,d005,21-05-1989,01-01-9999
10073,d006,02-02-1998,22-02-1998
10074,d005,13-08-1990,01-01-9999
10075,d005,17-05-1988,15-01-2001
10076,d005,15-07-1996,01-01-9999
10077,d003,23-12-1994,01-01-9999
10078,d005,29-09-1994,01-01-9999
10079,d005,13-12-1995,01-01-9999
10080,d002,28-09-1994,09-07-1997
10080,d003,09-07-1997,01-01-9999
10081,d004,30-10-1986,01-01-9999
10082,d008,03-01-1990,15-01-1990
10083,d004,31-03-1987,01-01-9999
10084,d004,15-12-1995,01-01-9999
10085,d004,09-04-1994,01-01-9999
10086,d003,19-02-1992,01-01-9999
10087,d007,08-05-1997,09-01-2001
10088,d007,02-09-1988,21-03-1992
10088,d009,21-03-1992,01-01-9999
10089,d007,10-01-1989,01-01-9999
10090,d005,14-03-1986,07-05-1999
10091,d005,18-11-1992,01-01-9999
10092,d005,22-04-1996,01-01-9999
10093,d007,08-06-1997,01-01-9999
10094,d008,18-04-1987,08-11-1997
10095,d007,10-03-1994,01-01-9999
10096,d004,23-01-1999,01-01-9999
10097,d008,15-09-1990,01-01-9999
10098,d004,13-05-1985,29-06-1989
10098,d009,29-06-1989,11-12-1992
10099,d007,18-10-1988,01-01-9999
10100,d003,21-09-1987,01-01-9999
10101,d007,14-10-1998,23-09-2000
10102,d004,02-01-1995,01-01-9999
10103,d005,12-01-1998,01-01-9999
10104,d008,16-04-1987,01-01-9999
10105,d003,17-05-1999,11-06-2001
10106,d004,27-10-1991,01-01-9999
10107,d007,30-03-1999,01-01-9999
10108,d001,06-12-1999,20-10-2001
10108,d003,20-03-1999,06-12-1999
10109,d004,16-06-1993,01-01-9999
10110,d003,22-08-1986,01-01-9999
10111,d006,19-12-1988,01-01-9999
10112,d009,01-05-1998,01-01-9999
10113,d004,14-09-1998,01-01-9999
10114,d008,17-07-1992,01-01-9999
10115,d009,03-03-1988,24-05-1992
10116,d005,27-02-1994,03-12-1995
10116,d008,03-12-1995,01-11-1998
10117,d004,19-03-1992,01-01-9999
10118,d005,02-02-1992,01-01-9999
10119,d004,09-12-1993,30-10-1997
10120,d004,06-07-1996,01-01-9999
10121,d005,03-05-1989,01-01-9999
10122,d005,06-08-1998,01-01-9999
10123,d004,15-01-1993,01-01-9999
10124,d004,05-09-1991,06-06-1999
10124,d006,06-06-1999,01-01-9999
10125,d007,26-10-1990,25-03-1996
10126,d009,08-09-1985,01-01-9999
10127,d005,17-05-1991,01-01-9999
10128,d009,06-06-1988,01-01-9999
10129,d005,16-01-1996,01-01-9999
10130,d004,21-06-1988,01-01-9999
10131,d004,17-09-1999,06-12-1999
10132,d002,18-06-1997,01-01-9999
10133,d004,15-12-1985,01-01-9999
10134,d004,02-12-1993,01-01-9999
10134,d005,12-12-1987,02-12-1993
10135,d004,04-01-1990,01-01-9999
10136,d007,13-06-1988,20-09-1999
10137,d009,18-02-1985,01-01-9999
10138,d006,03-03-1992,01-01-9999
10139,d005,15-03-1998,01-01-9999
10140,d001,14-03-1991,01-01-9999
10141,d008,23-07-1998,01-01-9999
10142,d005,28-10-1993,01-01-9999
10143,d005,30-09-1988,01-01-9999
10144,d002,14-10-1985,02-09-1988
10144,d003,02-09-1988,10-08-1993
10145,d005,03-11-1999,01-01-9999
10146,d002,28-06-1988,07-09-1990
10147,d002,18-12-1987,01-01-9999
10148,d007,15-07-1996,01-01-9999
10149,d007,28-01-1994,27-08-1996
10150,d005,16-11-1986,01-01-9999
10151,d007,12-12-1992,01-01-9999
10152,d006,27-01-1986,03-08-1987
10153,d005,08-01-2000,01-01-9999
10154,d009,23-10-1996,01-01-9999
10155,d004,12-07-1990,01-01-9999
10155,d008,05-01-1990,12-07-1990
10156,d006,14-05-1993,01-01-9999
10157,d005,10-12-1997,01-01-9999
10158,d004,04-06-1987,01-01-9999
10159,d006,12-06-1996,01-01-9999
10160,d007,06-12-1993,01-01-9999
10161,d004,09-06-1991,05-01-1994
10162,d004,27-05-1998,01-01-9999
10163,d003,02-02-1992,01-01-9999
10164,d004,19-10-1990,31-05-2000
10164,d009,31-05-2000,01-01-9999
10165,d002,17-05-1988,01-01-9999
10166,d005,02-09-1996,01-01-9999
10167,d004,04-04-1992,01-01-9999
10168,d008,06-12-1986,01-01-9999
10169,d005,28-06-1998,01-01-9999
10170,d004,02-01-1986,06-02-1989
10171,d004,05-08-1996,01-01-9999
10172,d005,04-02-1998,01-10-1998
10172,d008,01-10-1998,01-01-9999
10173,d002,21-03-1992,01-01-9999
10174,d004,01-06-1987,01-01-9999
10175,d001,24-09-1988,24-05-1995
10176,d009,22-12-1994,01-01-9999
10177,d002,06-02-1993,17-03-1994
10178,d007,21-03-1994,01-01-9999
10179,d005,25-01-2000,01-01-9999
10180,d002,01-07-1994,01-01-9999
10181,d005,22-06-1988,01-01-9999
10182,d005,02-09-1990,05-01-1999
10182,d008,05-01-1999,01-01-9999
10183,d009,11-08-1996,01-01-9999
10184,d009,26-12-1997,01-01-9999
10185,d007,01-03-1986,01-01-9999
10186,d002,25-12-1996,16-08-1997
10187,d002,01-06-1991,01-01-9999
10188,d004,27-08-1987,01-01-9999
10189,d005,13-09-1992,29-06-1993
10190,d004,23-06-1986,01-01-9999
10191,d005,10-04-1986,01-01-9999
10192,d004,09-08-1999,01-01-9999
10192,d006,13-06-1988,09-08-1999
10193,d005,21-09-1996,01-01-9999
10194,d002,14-02-1997,01-01-9999
10195,d004,15-02-1985,14-04-2001
10196,d002,31-01-1999,01-01-9999
10197,d005,28-06-1994,01-01-9999
10198,d005,31-08-1985,01-01-9999
10199,d007,07-02-1998,01-01-9999
10200,d004,17-02-1994,03-10-2000
10200,d006,03-10-2000,01-01-9999
